id,name,country,region,population,climate,industries,corruption,pressFreedom,costOfLiving,affordability,govProgressiveness,militarySpending,economicOutlook,fossilFuelReliance,safety,healthcareQuality,educationQuality,internetQuality,airQuality,languageAccess,visaEase,sunshine,humidity,rainfall,winterWarmth,primaryLanguage,gdpPerCapita,density,nickname,lat,lon
munich,Munich,Germany,Europe,1500000,continental,tech;finance;creative,84,83,43,71,95,62,20,59,78,87,72,100,82,88,61,24,97,45,41,german,55,4800,Millionendorf,48.14,11.58
porto,Porto,Portugal,Europe,320000,subtropical,tech;creative;tourism,65,84,69,68,96,69,55,81,66,83,70,100,88,87,62,47,89,40,68,portuguese,22,5700,Invicta,41.16,-8.63
seville,Seville,Spain,Europe,690000,subtropical,tourism;creative,62,77,70,81,91,71,61,75,63,84,69,100,78,63,63,59,59,19,64,spanish,28,4800,City of Grace,37.39,-5.99
florence,Florence,Italy,Europe,380000,subtropical,tourism;fashion;creative,59,68,49,72,87,68,34,49,58,82,64,100,76,54,62,39,86,29,49,italian,38,3800,Cradle of the Renaissance,43.77,11.26
naples,Naples,Italy,Europe,970000,subtropical,tourism;creative,59,68,60,81,87,68,34,49,38,82,64,100,69,54,62,50,80,30,60,italian,18,8200,Parthenopean City,40.85,14.27
krakow,Kraków,Poland,Europe,780000,continental,tech;creative;tourism,64,74,68,72,82,17,54,32,75,82,77,100,56,83,61,20,92,31,37,polish,20,2400,Royal City,50.06,19.94
dubrovnik,Dubrovnik,Croatia,Europe,42000,subtropical,tourism;creative,51,64,,,82,64,71,76,,76,63,100,81,89,60,43,74,50,65,croatian,18,120,Pearl of the Adriatic,42.65,18.09
tallinn,Tallinn,Estonia,Europe,450000,continental,tech;startup;creative,82,89,56,79,96,33,16,60,78,79,81,84,92,70,60,13,100,27,36,estonian,28,2600,Pearl of the Baltic,59.44,24.75
riga,Riga,Latvia,Europe,630000,continental,tech;finance;creative,65,81,64,83,89,35,30,73,63,77,68,100,64,83,60,15,100,31,34,latvian,22,2500,Paris of the North,56.95,24.11
vilnius,Vilnius,Lithuania,Europe,590000,continental,tech;finance;startup,68,82,67,74,90,38,53,78,71,78,65,100,89,64,59,16,100,30,30,lithuanian,24,1500,Rome of the North,54.69,25.28
bucharest,Bucharest,Romania,Europe,1800000,continental,tech;finance;creative,48,66,74,76,83,54,41,68,72,77,47,100,68,85,60,35,75,25,41,romanian,18,8400,Little Paris,44.43,26.10
sofia,Sofia,Bulgaria,Europe,1290000,continental,tech;finance;creative,43,60,69,76,74,57,59,72,61,73,47,96,88,81,60,36,80,28,39,bulgarian,14,6200,City of Free Spirit,42.70,23.32
belgrade,Belgrade,Serbia,Europe,1680000,continental,tech;creative;startup,37,53,70,60,53,48,66,28,62,73,52,98,54,76,62,33,75,27,44,serbian,12,3500,White City,44.82,20.46
zagreb,Zagreb,Croatia,Europe,800000,continental,tech;creative;tourism,51,64,65,77,82,64,71,76,78,76,63,100,68,89,60,31,89,36,43,croatian,20,1240,Little Vienna,45.81,15.98
geneva,Geneva,Switzerland,Europe,200000,continental,finance;tech,88,83,11,71,96,86,40,98,70,87,72,100,79,71,62,31,85,44,43,french,90,12000,Capital of Peace,46.20,6.15
lyon,Lyon,France,Europe,520000,temperate,tech;finance;creative,73,76,49,84,89,59,39,95,41,82,70,100,77,63,62,34,87,34,49,french,45,10500,Gastronomic Capital,45.75,4.83
gothenburg,Gothenburg,Sweden,Europe,590000,temperate,tech;finance;creative,88,88,55,87,99,60,35,99,54,85,73,100,88,86,62,16,100,41,46,swedish,52,1500,Little London,57.71,11.97
rotterdam,Rotterdam,Netherlands,Europe,650000,temperate,trade;tech;finance,87,88,44,89,97,62,34,54,70,85,73,100,80,91,62,20,98,33,53,dutch,58,3500,Gateway to Europe,51.92,4.48
luxembourg,Luxembourg City,Luxembourg,Europe,125000,temperate,finance;tech,89,83,40,77,97,81,30,92,72,83,64,100,83,,62,22,95,31,46,french,120,2400,Gibraltar of the North,49.61,6.13
bratislava,Bratislava,Slovakia,Europe,480000,continental,tech;finance;creative,50,71,63,65,88,60,45,85,70,78,62,100,73,85,60,25,81,25,42,slovak,24,1200,Beauty on the Danube,48.15,17.11
thessaloniki,Thessaloniki,Greece,Europe,1030000,subtropical,tourism;trade;creative,54,55,64,68,85,37,51,50,48,77,56,91,52,81,61,45,71,21,54,greek,18,3800,Co-Capital of Greece,40.64,22.94
valletta,Valletta,Malta,Europe,213000,subtropical,finance;tourism;tech,53,62,57,,88,91,100,16,,82,58,100,78,100,60,59,86,24,77,english,35,6200,Nurse of the Mediterranean,35.90,14.51
hamburg,Hamburg,Germany,Europe,1840000,temperate,trade;tech;finance;media,84,83,49,76,95,62,20,59,59,87,72,100,79,88,61,17,99,30,46,german,55,2400,Gateway to the World,53.55,10.00
cluj,Cluj-Napoca,Romania,Europe,321000,continental,tech;startup;creative,48,66,73,66,83,54,41,68,78,77,47,100,75,85,60,29,82,27,38,romanian,18,6800,Silicon Valley of Eastern Europe,46.77,23.59
nicosia,Nicosia,Cyprus,Europe,330000,subtropical,finance;tourism;trade,59,59,62,86,90,67,72,28,68,76,67,100,73,62,59,59,58,14,68,greek,30,1200,City of Love,35.17,33.37
beijing,Beijing,China,Asia,21500000,continental,tech;finance;trade,50,14,81,27,9,66,89,42,74,85,47,100,24,38,40,38,41,21,33,mandarin,28,1300,Northern Capital,39.91,116.39
shanghai,Shanghai,China,Asia,24900000,subtropical,finance;tech;trade,50,14,78,23,9,66,89,42,74,85,47,100,36,38,40,34,88,51,54,mandarin,32,3900,Paris of the East,31.23,121.47
hongKong,Hong Kong,China,Asia,7500000,subtropical,finance;trade;tech,50,14,44,13,9,66,89,42,78,85,47,100,58,38,40,42,90,56,80,cantonese,52,6800,Pearl of the Orient,22.32,114.17
shenzhen,Shenzhen,China,Asia,17500000,subtropical,tech;finance;trade,50,14,80,30,9,66,89,42,76,85,47,100,62,38,40,42,91,59,80,mandarin,38,8000,Silicon Valley of China,22.54,114.06
chengdu,Chengdu,China,Asia,21000000,subtropical,tech;creative;finance,50,14,89,74,9,66,89,42,,85,47,100,18,38,40,22,76,40,56,mandarin,20,1400,Land of Abundance,30.66,104.07
bangalore,Bangalore,India,Asia,12500000,subtropical,tech;startup;finance,42,32,96,83,62,55,100,27,46,69,33,48,78,45,26,68,69,34,91,kannada,6,4600,Silicon Valley of India,12.97,77.59
newDelhi,New Delhi,India,Asia,32000000,continental,finance;tech;trade,42,32,95,63,62,55,100,27,41,69,33,48,0,45,26,56,28,30,75,hindi,6,11000,Heart of India,28.61,77.21
kolkata,Kolkata,India,Asia,15000000,tropical,finance;creative;trade,42,32,98,76,62,55,100,27,53,69,33,48,0,45,26,50,80,63,83,bengali,4,24000,City of Joy,22.57,88.36
hoChiMinhCity,Ho Chi Minh City,Vietnam,Asia,9000000,tropical,tech;trade;creative,43,19,88,20,20,,100,45,50,71,73,100,53,50,24,62,86,55,100,vietnamese,5,4300,Pearl of the Far East,10.78,106.70
jakarta,Jakarta,Indonesia,Asia,10500000,tropical,finance;trade;tech,37,44,89,40,56,84,88,18,47,67,32,37,32,40,39,55,93,88,100,indonesian,8,15700,Big Durian,-6.21,106.85
manila,Manila,Philippines,Asia,14000000,tropical,trade;tech;creative,36,49,84,14,58,74,90,23,35,69,21,94,42,73,32,51,99,100,97,filipino,5,71000,Pearl of the Orient Seas,14.60,121.00
tbilisi,Tbilisi,Georgia,Asia,1100000,continental,tech;tourism;creative,56,50,80,66,51,63,100,80,74,71,33,27,60,64,58,36,56,15,47,georgian,8,4700,City of Warm Bread,41.69,44.83
yerevan,Yerevan,Armenia,Asia,1090000,continental,tech;creative;finance,51,73,75,59,54,0,100,66,78,69,48,76,,55,33,44,33,14,44,armenian,8,4800,Pink City,40.18,44.51
almaty,Almaty,Kazakhstan,Asia,2100000,continental,finance;trade;tech,46,39,80,75,23,91,94,15,47,83,39,77,,22,37,45,33,19,42,kazakh,12,700,City of Apples,43.26,76.94
auckland,Auckland,New Zealand,Oceania,1700000,temperate,finance;tech;creative,87,81,55,78,99,76,31,89,49,89,73,100,89,100,78,45,89,41,88,english,45,1200,City of Sails,-36.85,174.76
brisbane,Brisbane,Australia,Oceania,2600000,subtropical,tech;finance;creative,85,75,52,84,94,62,51,39,62,89,72,100,85,100,76,61,75,44,100,english,58,480,River City,-27.47,153.02
perth,Perth,Australia,Oceania,2100000,subtropical,mining;finance;tech,85,75,47,89,94,62,51,39,58,89,72,100,85,100,76,69,71,26,95,english,68,320,City of Light,-31.95,115.86
wellington,Wellington,New Zealand,Oceania,440000,temperate,creative;tech;finance,87,81,55,80,99,76,31,89,67,89,73,100,84,100,78,43,95,34,82,english,45,1400,Windy Wellington,-41.29,174.78
fukuoka,Fukuoka,Japan,Asia,1600000,subtropical,tech;creative;tourism,75,63,,,96,73,32,33,,86,79,100,75,32,79,35,93,76,53,japanese,35,4700,Hakata,33.59,130.40
busan,Busan,South Korea,Asia,3400000,subtropical,trade;creative;tech,65,64,,,83,49,44,40,,88,79,100,58,57,80,37,87,61,60,korean,28,4400,City of the Sea,35.18,129.08
colombo,Colombo,Sri Lanka,Asia,750000,tropical,trade;finance;tourism,40,39,84,0,63,71,58,62,57,72,33,40,53,45,20,71,97,80,100,sinhala,4,3400,Pearl of the Indian Ocean,6.93,79.84
kathmandu,Kathmandu,Nepal,Asia,1400000,subtropical,tourism;creative;trade,35,55,94,19,59,80,67,100,64,58,23,59,26,55,18,55,55,43,69,nepali,2,20000,City of Temples,27.71,85.32
yangon,Yangon,Myanmar,Asia,7400000,tropical,trade;creative;tourism,22,25,,,4,0,17,48,,52,42,30,44,31,20,56,70,49,100,burmese,3,4800,Garden City of the East,16.87,96.19
phnomPenh,Phnom Penh,Cambodia,Asia,2200000,tropical,trade;tourism;creative,23,28,81,16,22,70,93,41,50,62,51,41,62,13,25,63,79,50,100,khmer,3,4000,Pearl of Asia,11.56,104.92
ulaanbaatar,Ulaanbaatar,Mongolia,Asia,1500000,continental,trade;mining;creative,38,52,82,73,84,85,100,8,48,70,45,69,0,32,33,46,69,11,0,mongolian,5,300,Red Hero,47.89,106.91
macau,Macau,China,Asia,680000,subtropical,tourism;trade;finance,50,14,,,9,66,89,42,,85,47,100,62,38,40,40,95,64,83,cantonese,62,21000,Las Vegas of Asia,22.20,113.55
hyderabad,Hyderabad,India,Asia,10500000,subtropical,tech;startup;finance,42,32,96,94,62,55,100,27,57,69,33,48,16,45,26,66,55,32,92,telugu,6,18000,City of Pearls,17.38,78.48
guangzhou,Guangzhou,China,Asia,16700000,subtropical,trade;finance;tech,50,14,82,44,9,66,89,42,72,85,47,100,54,38,40,34,88,69,76,cantonese,30,1800,City of Flowers,23.13,113.26
cebu,Cebu City,Philippines,Asia,920000,tropical,tourism;trade;tech,36,49,86,,58,74,90,23,51,69,21,94,,73,32,58,96,80,100,filipino,5,4600,Queen City of the South,10.32,123.90
bali,Bali,Indonesia,Asia,900000,tropical,tourism;creative,37,44,84,,56,84,88,18,49,67,32,37,76,40,39,70,97,64,100,indonesian,8,700,Island of the Gods,-8.34,115.09
miami,Miami,United States,Americas,470000,subtropical,tourism;finance;tech,70,65,36,89,81,32,58,43,47,88,71,100,86,100,75,59,83,53,92,english,55,4700,Magic City,25.76,-80.19
seattle,Seattle,United States,Americas,750000,temperate,tech;trade;creative,70,65,30,93,81,32,58,43,45,88,71,100,88,100,75,27,97,49,54,english,75,3400,Emerald City,47.61,-122.33
boston,Boston,United States,Americas,680000,continental,education;finance;biotech,70,65,32,84,81,32,58,43,60,88,71,100,87,100,75,35,91,48,37,english,78,5300,The Hub,42.36,-71.06
atlanta,Atlanta,United States,Americas,510000,subtropical,finance;tech;media,70,65,43,97,81,32,58,43,36,88,71,100,82,100,75,49,83,52,55,english,52,1450,The ATL,33.75,-84.39
houston,Houston,United States,Americas,2300000,subtropical,energy;healthcare;trade,70,65,55,99,81,32,58,43,37,88,71,100,81,100,75,52,85,50,67,english,52,1250,Space City,29.76,-95.37
dallas,Dallas,United States,Americas,1300000,subtropical,finance;tech;energy,70,65,45,89,81,32,58,43,48,88,71,100,82,100,75,53,70,37,59,english,55,1500,Big D,32.78,-96.80
portland,Portland,United States,Americas,650000,temperate,tech;creative;trade,70,65,37,96,81,32,58,43,42,88,71,100,88,100,75,32,93,59,52,english,62,1900,City of Roses,45.52,-122.68
minneapolis,Minneapolis,United States,Americas,430000,continental,healthcare;finance;retail,70,65,45,97,81,32,58,43,44,88,71,100,84,100,75,36,84,34,21,english,62,2900,City of Lakes,44.98,-93.27
newOrleans,New Orleans,United States,Americas,380000,subtropical,tourism;energy;trade,70,65,43,94,81,32,58,43,32,88,71,100,85,100,75,53,89,61,71,english,38,1800,The Big Easy,29.95,-90.07
philadelphia,Philadelphia,United States,Americas,1580000,continental,education;pharma;finance,70,65,40,96,81,32,58,43,35,88,71,100,81,100,75,40,89,49,42,english,55,4400,City of Brotherly Love,39.95,-75.17
phoenix,Phoenix,United States,Americas,1600000,desert,tech;finance;tourism,70,65,45,93,81,32,58,43,47,88,71,100,84,100,75,75,6,10,70,english,48,1200,Valley of the Sun,33.45,-112.07
calgary,Calgary,Canada,Americas,1340000,continental,energy;finance;tech,81,78,56,89,97,74,49,77,62,92,78,100,87,100,77,29,75,22,28,english,68,1600,Cowtown,51.05,-114.07
ottawa,Ottawa,Canada,Americas,1020000,continental,government;tech;education,81,78,57,88,97,74,49,77,69,92,78,100,88,100,77,31,97,39,19,english,65,340,The Nation's Capital,45.42,-75.70
lima,Lima,Peru,Americas,10750000,desert,trade;finance;tourism,33,42,83,66,66,82,52,64,30,68,38,100,40,56,65,57,69,1,88,spanish,7,3100,City of Kings,-12.05,-77.04
santiago,Santiago,Chile,Americas,7100000,temperate,finance;mining;tech,70,62,76,61,95,68,50,66,36,84,51,100,49,56,72,67,18,11,94,spanish,15,8600,Gateway to the Andes,-33.45,-70.67
medellin,Medellin,Colombia,Americas,2600000,subtropical,tech;tourism;trade,42,49,79,54,69,33,46,77,46,82,40,100,57,43,59,57,100,85,80,spanish,6,19000,City of Eternal Spring,6.25,-75.57
quito,Quito,Ecuador,Americas,1820000,subtropical,trade;tourism;government,32,53,83,79,64,56,40,79,37,78,40,100,63,39,42,39,94,47,83,spanish,6,4500,Middle of the World,-0.23,-78.51
montevideo,Montevideo,Uruguay,Americas,1380000,temperate,trade;finance;education,79,65,62,76,97,54,49,98,43,85,46,100,76,64,66,55,89,47,96,spanish,17,2500,Southern Star,-34.90,-56.19
guadalajara,Guadalajara,Mexico,Americas,5200000,subtropical,tech;trade;creative,29,45,74,62,58,82,46,26,38,79,43,90,50,30,67,76,50,32,80,spanish,12,5700,Pearl of the West,20.66,-103.35
monterrey,Monterrey,Mexico,Americas,5100000,subtropical,finance;trade;manufacturing,29,45,68,62,58,82,46,26,52,79,43,90,54,30,67,67,53,28,75,spanish,18,7200,Sultan of the North,25.67,-100.31
havana,Havana,Cuba,Americas,2140000,tropical,tourism;education,43,26,,,9,,6,4,,86,,,30,55,29,64,77,30,94,spanish,9,2900,Pearl of the Antilles,23.13,-82.38
panamaCity,Panama City,Panama,Americas,880000,tropical,finance;trade;tourism,37,66,70,71,82,,84,68,54,82,26,100,72,47,62,58,92,77,100,spanish,13,1200,Hub of the Americas,8.99,-79.52
sanJoseCR,San Jose,Costa Rica,Americas,1170000,tropical,tourism;tech;agriculture,62,73,60,80,91,,81,100,44,84,43,100,42,55,64,61,94,72,95,spanish,12,5100,Chepe,9.93,-84.08
rioDeJaneiro,Rio de Janeiro,Brazil,Americas,6700000,tropical,tourism;finance;oil,40,63,82,47,73,81,62,89,25,84,38,100,82,44,74,53,92,59,100,portuguese,8,5200,Marvelous City,-22.91,-43.17
cartagena,Cartagena,Colombia,Americas,1010000,tropical,tourism;trade;finance,42,49,,,69,33,46,77,,82,40,100,52,43,59,65,91,55,100,spanish,5,1500,Heroic City,10.39,-75.48
curitiba,Curitiba,Brazil,Americas,1950000,subtropical,automotive;tech;trade,40,63,82,63,73,81,62,89,40,84,38,100,,44,74,46,96,65,92,portuguese,11,4400,Ecological Capital,-25.43,-49.27
asuncion,Asuncion,Paraguay,Americas,550000,subtropical,trade;agriculture,27,56,84,74,63,81,94,100,45,79,29,93,63,60,64,58,79,59,100,spanish,5,2400,Mother of Cities,-25.29,-57.65
laPaz,La Paz,Bolivia,Americas,870000,subtropical,trade;mining;tourism,28,54,,,69,73,24,36,,67,,54,,57,35,78,81,26,64,spanish,3,3800,City in the Clouds,-16.50,-68.15
lasVegas,Las Vegas,United States,Americas,640000,desert,tourism;entertainment;gaming,70,65,49,91,81,32,58,43,45,88,71,100,84,100,75,71,1,6,62,english,45,1700,Sin City,36.17,-115.14
