our_country,ti_country,rsf_country,sipri_country,henley_country,ef_country,ookla_country
Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland
India,India,India,India,India,India,India
Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
Iran,Iran,Iran,Iran,Iran,Iran,Iran
Iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq
Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland
Israel,Israel,Israel,Israel,Israel,Israel,Israel
Italy,Italy,Italy,Italy,Italy,Italy,Italy
Ivory Coast,Ivory Coast,Ivory Coast,Ivory Coast,Ivory Coast,Ivory Coast,Ivory Coast
Japan,Japan,Japan,Japan,Japan,Japan,Japan
Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya
Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait
Latvia,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia
Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon
Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania
Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
Malta,Malta,Malta,Malta,Malta,Malta,Malta
Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia
Morocco,Morocco,Morocco,Morocco,Morocco,Morocco,Morocco
Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar
Nepal,Nepal,Nepal,Nepal,Nepal,Nepal,Nepal
Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria
Norway,Norway,Norway,Norway,Norway,Norway,Norway
Oman,Oman,Oman,Oman,Oman,Oman,Oman
Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan
Panama,Panama,Panama,Panama,Panama,Panama,Panama
Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay,Paraguay
Peru,Peru,Peru,Peru,Peru,Peru,Peru
Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
Poland,Poland,Poland,Poland,Poland,Poland,Poland
Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar
Romania,Romania,Romania,Romania,Romania,Romania,Romania
Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
Senegal,Senegal,Senegal,Senegal,Senegal,Senegal,Senegal
Serbia,Serbia,Serbia,Serbia,Serbia,Serbia,Serbia
Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
Slovakia,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia,Slovakia
Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia
South Africa,South Africa,South Africa,South Africa,South Africa,South Africa,South Africa
South Korea,South Korea,South Korea,South Korea,South Korea,South Korea,South Korea
Spain,Spain,Spain,Spain,Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
Tunisia,Tunisia,Tunisia,Tunisia,Tunisia,Tunisia,Tunisia
Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
UAE,UAE,UAE,UAE,UAE,UAE,UAE
USA,USA,USA,USA,USA,USA,USA
Uganda,Uganda,Uganda,Uganda,Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
United States,United States,United States,United States,United States,United States,United States
Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
